Date,Coinbase,Exmo,Binance
2019/4/26,5279.35,5345.3,5306.17
2019/4/25,5210.52,5275,5219.9
2019/4/24,5464.87,5477,5415
2019/4/23,5572.36,5561.39,5493.31
2019/4/22,5399.37,5423.3,5357.14
2019/4/21,5314.53,5337.41,5256.14
2019/4/20,5337.89,5346.66,5291.73
2019/4/19,5303.81,5313.38,5258.68
2019/4/18,5298.39,5295.8,5258.44
2019/4/17,5251.94,5260.89,5202.82
2019/4/16,5235.56,5218.29,5173.72
2019/4/15,5067.11,5081.45,5024.95
2019/4/14,5167.72,5193.77,5131.3
2019/4/13,5096.59,5145.17,5045.22
2019/4/12,5089.54,5139.63,5048.01
2019/4/11,5064.49,5098.71,5017.37
2019/4/10,5324.55,5333.3,5308.25
2019/4/9,5204.96,5234.27,5150
2019/4/8,5289.77,5297.72,5236.9
2019/4/7,5198.9,5171.18,5170.27
2019/4/6,5059.82,5065,5043.89
2019/4/5,5036.68,5018.51,5004.95
2019/4/4,4922.8,4880,4898.66
2019/4/3,4973.02,4954.68,4932.6
2019/4/2,4879.88,4811.51,4857.29
2019/4/1,4158.18,4168.16,4144.56
2019/3/31,4105.4,4135.59,4103.95
2019/3/30,4106.66,4149.99,4106.97
2019/3/29,4098.37,4156,4103.25
2019/3/28,4069.11,4071.22,4027.81
2019/3/27,4087.07,4089.14,4038.05
2019/3/26,3985.08,4004.12,3948.55
2019/3/25,3963.07,3997.16,3936.12
2019/3/24,4022.17,4053.15,3992.18
2019/3/23,4035.83,4065.2,4006.01
2019/3/22,4023.97,4059.99,3986.93
2019/3/21,4029.33,4066,3980.64
2019/3/20,4087.48,4120,4043.03
2019/3/19,4071.19,4092.95,3998.9
2019/3/18,4032.51,4068.18,3987.81
2019/3/17,4025.23,4062.01,3981.14
2019/3/16,4048.73,4075,4005.98
2019/3/15,3960.91,3985,3923.76
2019/3/14,3924.37,3956,3877.12
2019/3/13,3906.72,3958.74,3866
2019/3/12,3909.16,3961.25,3882.73
2019/3/11,3905.23,3948,3871.61
2019/3/10,3951.6,3985.14,3916.82
2019/3/9,3963.31,3996.86,3943.04
2019/3/8,3901.13,3943.55,3864.89
2019/3/7,3911.48,3947.81,3873.64
2019/3/6,3903.94,3920.78,3861.84
2019/3/5,3896.38,3933.1,3857.73
2019/3/4,3761.56,3834.57,3715.3
2019/3/3,3847.18,3919.26,3807.75
2019/3/2,3864.42,3929.4,3819.93
2019/3/1,3859.58,3935.86,3823
2019/2/28,3854.79,3913.25,3813.69
2019/2/27,3851.05,3915.52,3818.07
2019/2/26,3854.36,3910.93,3809.23
2019/2/25,3882.7,3933.67,3827.92
2019/2/24,3810.43,3880,3743.56
2019/2/23,4142.53,4160.5,4117.76
2019/2/22,4005.53,4045,3962
2019/2/21,3954.12,3982.06,3937.31
2019/2/20,3999.82,4027.5,3969.74
2019/2/19,3947.09,3968.6,3907.79
2019/2/18,3915.71,3929.7,3898.6
2019/2/17,3673.84,3752.97,3667.58
2019/2/16,3629.79,3715.59,3618.41
2019/2/15,3620.81,3675.06,3602.47
2019/2/14,3616.88,3668.04,3590.56
2019/2/13,3632.07,3688.43,3609.4
2019/2/12,3653.53,3690,3631.46
2019/2/11,3648.43,3675.92,3631.05
2019/2/10,3690.19,3733.7,3680.06
2019/2/9,3671.2,3709.44,3665.18
2019/2/8,3666.78,3695.07,3659.04
2019/2/7,3399.47,3466.57,3398.4
2019/2/6,3413.77,3472.28,3405.37
2019/2/5,3466.36,3532.33,3471.59
2019/2/4,3459.15,3508.52,3463.22
2019/2/3,3464.01,3504.1,3458.11
2019/2/2,3521.06,3552.1,3504.77
2019/2/1,3487.95,3541.4,3462.07
2019/1/31,3457.79,3500.76,3434.1
2019/1/30,3486.18,3526,3458.18
2019/1/29,3448.12,3501.97,3411.04
2019/1/28,3470.45,3538,3434.15
2019/1/27,3583.97,3643.02,3550.84
2019/1/26,3602.46,3673.98,3565.25
2019/1/25,3599.77,3671,3565.29
2019/1/24,3600.87,3680.12,3569.62
2019/1/23,3585.12,3677.24,3552.82
2019/1/22,3604.58,3700.5,3570.93
2019/1/21,3576.03,3660,3526.9
2019/1/20,3601.01,3680,3539.28
2019/1/19,3728.57,3791.22,3665.3
2019/1/18,3657.84,3731.92,3594.87
2019/1/17,3678.56,3757.7,3616.21
2019/1/16,3655.01,3723.54,3591.84
